	Unnamed: 0	id	qid1	qid2	question1	question2	is_duplicate	prediction_match
213	8894	8894	17314	17315	Where can I find best Doctor in Sydney CBD?	Where can I find best Psychologist in Sydney CBD?	0	2
215	8936	8936	17392	17393	Can you substitue brown sugar with white sugar?	Can I substitute white sugar for brown?	1	3
224	9169	9169	17828	17829	Can Home Depot copy a car key with a chip if I provide them a blank key with a chip?	What signal does a car key send to lock and open the car?	0	3
229	9329	9329	18131	18132	Can corn oil substitute vegetable oil? Why or why not?	Can you substitute canola oil for vegetable oil?	0	3
235	9796	9796	19024	19025	What is a suitable inpatient drug and alcohol rehab center near Marion County IN?	Which is a suitable inpatient drug and alcohol rehab center near Marshall County IN?	0	2
237	9811	9811	19051	19052	What are some anime shows similar to One Piece?	What are some good anime like one Piece?	1	1
245	10095	10095	19588	19589	What is a suitable inpatient drug and alcohol rehab center near Spalding County GA?	Which is a good inpatient drug and alcohol rehab center near Lamar County GA?	0	2
247	10112	10112	19622	19623	Can veto power be removed?	What is veto power?	0	3
249	10241	10241	19868	19869	Can using birth control cause complications in future pregnancies?	Can birth control cause infertility?	1	2
250	10300	10300	19974	19975	What state of matter is ice?	Where is dust among the three states of matter?	0	1
263	11101	11101	21463	21464	How can you determine the chemical formula of liquid mercury?	How can you determine the liquid formula for mercury?	0	3
264	11112	11112	7364	21483	Does green tea really reduces weight?	Does green chai tea assist with weight loss?	1	2
271	11452	11452	22114	22115	What lasting impact have the British had on Singapore?	What impact did British colonization have on Singapore?	1	1
288	12388	12388	1920	23873	How can I gain healthy weight and mass?	What are my nutritional needs in order for a healthy weight gain and muscle mass?	0	2
291	12512	12512	24104	24105	How can I stop my male pattern baldness?	How close are we to curing male pattern baldness?	0	3
306	13198	13198	25367	25368	Are asexual men just suffering from low testosterone?	Is asexuality caused by low testosterone?	1	3
313	13372	13372	25690	25691	How can I make vanilla ice cream?	How can we make vanilla ice cream more interesting?	0	3
318	13465	13465	25855	25856	What is a magnetic drilling machine?	What is a radial drilling machine?	0	3
323	13912	13912	26681	26682	How can you determine the atomic radius of niobium?	How can the atomic radius of niobium be determined?	1	3
326	14024	14024	5894	26881	Can you get pregnant one day before ovulation?	Can you get pregnant 16 days after your period?	1	3
327	14090	14090	27007	27008	What is hexavalent chromium used for?	What is chromium nitrate used for?	0	1
336	14518	14518	25072	27795	Which is a suitable inpatient drug and alcohol rehab center near Upson County GA?	Which is a suitable inpatient drug and alcohol rehab center near Montgomery County GA?	0	2
341	14658	14658	28061	28062	Which is a good inpatient drug and alcohol rehab center near Jasper County IN?	Which is a good inpatient drug and alcohol rehab center near Jasper County IA?	0	2
345	14941	14941	28581	28582	Are there any health benefits to drinking one's own urine?	Is it safe to drink one's own urine?	1	1
348	15134	15134	28937	28938	How can you determine the chemical formula for anhydrous copper sulfate?	How can you determine the chemical formula for magnesium and copper sulfate?	0	3
357	15342	15342	29323	29324	Will kissing your dog make you sick?	Can kissing your dog make you sick?	1	3
359	15524	15524	29652	29653	How can I identify pure gold?	Is 20-carat gold pure gold?	0	3
361	15560	15560	29719	29720	Can radio waves be converted into electrical waves?	How do we convert electrical energy into radio waves?	0	2
385	16479	16479	31417	31418	What is big data science?	Big data?	1	1
393	16861	16861	32105	32106	What is velocity of charged particles?	Is photon a charged particle?	0	1
399	17058	17058	32466	32467	What are the effects of eating raw meat?	What can eating raw meat lead to?	1	3
400	17062	17062	32474	32475	Are the hydrogen bonds directional?	How hydrogen bond is directional?	0	3
403	17181	17181	32688	32689	How do you determine the chemical formula for paradichlorobenzene?	How is the chemical formula for sodium hypoiodite determined?	0	1
409	17629	17629	33468	33469	Is grapefruit a negative calorie food?	Is there any negative calorie food?	1	3
419	18166	18166	34434	34435	What are the best high schools in Silicon Valley?	What are the private high schools in Silicon Valley?	0	1
420	18167	18167	34436	34437	Does juice make you gain weight?	Does quinoa make you gain weight?	0	3
432	18707	18707	35425	35426	Can potential energy be negative?	How can we use potential energy?	0	3
436	18773	18773	35538	35539	Are deionized water and distilled water the same?	How does distilled water and deionized water differ?	0	3
437	18914	18914	35788	35789	Does height play a part in how big bicep muscle are able to get?	Does height play a part in how big bicep muscles are able to get?	0	2
445	19139	19139	36200	36201	How can I get rid of a small hard lump in my earlobe?	How can I get rid of a hard lump in my earlobe?	1	1
471	20691	20691	39016	39017	What's it like to have social anxiety disorder?	How common is social anxiety disorder?	0	1
473	20882	20882	39359	39360	Which is a suitable inpatient drug and alcohol rehab center in Marshall County KY?	Which is a good inpatient drug and alcohol rehab center in Martin County KY?	0	2
476	21009	21009	39590	39591	What does a green circle with a white tick mean on skype?	What's the little blue circle with the lightning bolt next to the name mean on messenger?	0	1
477	21126	21126	39803	39804	What is the ideal plastic fluid?	What is an ideal plastic fluid?	1	3
482	21418	21418	40328	40329	What is the world wide impact of India?	Has India an impact world wide?	1	1
484	21501	21501	20289	40476	How do I get rid of my belly fat without doing any abdomen exercises?	How can I lose belly fat without any exercise?	1	2
493	21967	21967	41286	41287	From what height can the average person fall into standing water without dying due to the impact?	Death and Dying: Can a person die from stress?	0	3
500	22469	22469	42157	42158	Can velocity of a particle be negative?	How is phase velocity greater than the velocity of a particle?	0	3
504	22567	22567	42336	42337	How can lichen planus be cure?	Can lichen planus be cured?	1	3
509	22675	22675	42531	42532	Oregon State Football Live Stream | Watch Oregon State Beavers Football Game Today Live Streaming Online?	Youngstown State Football Live Stream | Watch Youngstown State Penguins Football Game Today Live Streaming Online?	0	1
512	22823	22823	42802	42803	How to access dark web?	How can I access dark web?	1	3
517	22983	22983	43094	43095	Where can I get best patch and paint services in Sydney?	Where can I get best rust and paint removal service in Sydney?	0	1
530	23534	23534	44070	44071	Which is a good inpatient drug and alcohol rehab center near Granville County NC?	What is a good inpatient drug and alcohol rehab center near Union County NC?	0	2
532	23585	23585	44166	44167	Is 0 a rational number or irrational number?	Is √4 a rational number or irrational number?	0	2
544	24232	24232	45303	45304	Are two months enough to pass CPT with a good score?	Can a science student pass cpt in two months?	1	1
567	25117	25117	46837	46838	Is transparent a color?	What is transparent color?	0	3
577	25824	25824	23587	22153	Where can I get best services in property transactions across the Sydney?	Where can I get best property transaction support in Sydney?	1	1
587	26304	26304	48977	17183	Where can I get professional DJ for School Discos in Sydney?	Where can I find best quality DJ for School Discos in Sydney?	1	2
589	26470	26470	49261	49262	Can you really get prescription meds in Mexico without prescription?	How do you get access to prescription meds in a collapsed environment, without having to stockpile pills?	0	2
591	26550	26550	49404	49405	What is a suitable inpatient drug and alcohol rehab center near Chowan County NC?	What is a suitable inpatient drug and alcohol rehab center near Watauga County NC?	0	2
600	27146	27146	6772	18858	Which is the best food to gain weight?	What is the best diet to gain weight?	1	3
602	27240	27240	50620	50621	Will regular masturbation eventually make you sterile and have a lower sperm count?	How can excessive masturbation lead to low sperm count?	1	3
608	27452	27452	51003	51004	Where can I get very supportive learning environment to learn horse riding in Melbourne?	Where can I get a safe and supportive learning environment for horse riding in Melbourne?	1	2
615	27870	27870	51730	51731	What is the best way to get rid of social phobia?	How can I get rid of social phobia?	0	1
617	27893	27893	51773	51774	How is the nursery web spider poisonous?	Is the nursery web spider bite dangerous?	1	3
620	27985	27985	51933	51934	Where can I get pure honey in India?	Where can I get pure honey in Bangalore?	0	2
637	28525	28525	52883	52884	How does first time sex feel like?	How does first time sex feels like?	1	1
640	28599	28599	18630	53014	Can we create artificial gravity?	What are some methods of generating artificial gravity?	1	3
643	28794	28794	53351	53352	Difference between electron affinity and electron gain enthalpy?	What are the differences between Electron Affinity and Electron Gain Enthalpy?	1	3
645	28933	28933	53588	53589	Can a human outrun an alligator on land?	Can an elephant outrun a human?	0	3
646	28990	28990	5963	53687	How much water should a normal, healthy adult drink on a daily basis to avoid dehydration?	How much water to drink per day?	1	3
647	28999	28999	53701	53702	Can any inorganic material burn?	Do non-organic compounds burn?	1	3
650	29110	29110	53899	11730	What are common symptoms of a bad idle air control valve?	What are some symptoms of a bad idle air control sensor?	0	3
653	29330	29330	54278	54279	Newton laws of motion?	What are Newton's three laws of motion?	1	1
655	29383	29383	54368	16395	Is sex addiction real?	Is sex addiction a real thing?	1	1
658	29711	29711	54943	54944	Does a soy milk meal replacement help in weight loss?	Can eating only one meal a day make you lose weight?	0	3
659	29737	29737	54992	54993	Can you substitute condensed milk for evaporated milk? Why or why not?	Can you substitute evaporated milk with sweetened condensed milk?	1	3
665	29832	29832	55156	55157	How large is 100 square feet?	How much would the average cost of alligator leather per square feet be?	0	3
667	29896	29896	55268	55269	How long do you live after lung lobectomy with no treatment?	Had lobectomy but cancer was found in chest wall an lymph node. How long can you live without treatment	1	3
670	30024	30024	55502	55503	What is data communication?	What is a data communication system?	0	1
681	30862	30862	56939	56940	How does not keeping warm in a cold weather cause a common cold?	Does actual cold weather cause the common cold disease?	1	3
701	31695	31695	58420	58421	What causes Itchy candida?	Can migraines cause itchiness?	0	3
704	31741	31741	58499	58500	Taxes in India: Can I download a soft copy of my PAN card?	Can you derive your income tax file from a PAN card?	0	1
710	31967	31967	58890	58891	What is the best fantasy book plot?	What's the best fantasy book?	0	1
711	32116	32116	59158	59159	What is the difference between a hydrogen bomb and nuclear bomb?	What is the difference between an atomic bomb and a hydrogen bomb?	0	1
714	32311	32311	59494	59495	Visual Effects Studios: What is a typical technical supervisor salary?	Visual Effects Studios: What is a typical sequence supervisor salary?	0	1
715	32342	32342	59555	59556	Can men wear stockings?	Should men wear stocking?	1	3
730	32995	32995	60683	60684	What is social control in sociology?	What is control theory in sociology?	0	1
745	33783	33783	62003	62004	Can I get pregnant two days after my period ends?	Can I fall pregnant after 3days of my period?	1	3
749	33871	33871	62160	62161	Do a lot of Japanese people have bad teeth?	Is drinking a lot of unsweetened tea daily bad for your teeth?	0	1
756	34000	34000	45052	62369	How to gain weight ?	How can I gain weight but also eat healthy?	1	3
761	34058	34058	62468	62469	Can straight men be friends with gay men?	How is the average human skull size determined?	0	3
771	34462	34462	63140	63141	What bit can be used for drilling a hole in a glass bottle?	What drill bit should I use to drill a hole in a glass bottle?	1	1
789	35272	35272	64486	64487	What does ammonia smell like?	What causes urine to smell like ammonia?	0	1
795	35513	35513	1062	3062	How imminent is world war III?	How close is a World War III?	1	1
796	35646	35646	65105	65106	What is special about rectifier neural units used in NN learning?	Deep Learning: Does a smooth version of rectified linear units work better or worse than a non-smooth one?	0	1
800	35779	35779	65334	65335	What is virtual image?	What are virtual images in physics?	0	2
809	36157	36157	62003	65964	Can I get pregnant two days after my period ends?	Can you get pregnant a couple days before your period?	1	3
818	36471	36471	66499	66500	Can I get an email address with a cell phone number?	Can I use an email address to get all phone numbers linked to it?	0	1
822	36615	36615	66747	66748	Where can I buy Amazon echo dot in India?	Where can I buy Amazon Echo Dot in Delhi, India?	0	2
824	36708	36708	66907	66908	Is there a life expectancy on external hard drives?	Is there a life expectancy on external hard disks?	1	1
830	36960	36960	67325	67326	Where are the best places to play badminton near downtown Mountain View?	Where can I play ping pong in Mountain View, CA?	0	2
831	37054	37054	41576	3062	Is a third World War imminent?	How close is a World War III?	1	1
839	37451	37451	68152	68153	Can I use socket.io with spring boot?	Can I use Spring Boot with Node.js?	0	3
841	37529	37529	68274	68275	What is Vertex distance (BVD) typically used for glasses prescription?	What does it mean if there are two numbers for Pupillary Distance on your glasses prescription?	0	1
852	37880	37880	68868	68869	Where can I get best treatment for Hypnotherapy in Sydney?	Where can I find best treatment for Hypnotherapy in Sydney?	1	2
853	37925	37925	68942	68943	Does masturbation affect memory?	How does masturbation affect one's concentrating power?	0	1
858	38113	38113	69265	69266	How many hydrogen bond a water molecule can form?	Why hydrogen form only one hydrogen bonding with fluorine?	0	3
870	38813	38813	70442	70443	How can you determine the chemical formula for calcium dinitrate?	How can you determine the chemical formula for calcium dioxide?	0	3
879	39111	39111	70936	70937	Can I fly on a private jet?	Who gets to fly on a private jet?	0	1
880	39123	39123	70957	59639	What is the medicine to remove black spots from one's face?	How can I get rid of white dry spot on my face? It has affected my appearance	0	3
894	39825	39825	72155	67434	Can you criticize critical thinking?	What is critical thinking?	0	3
901	40048	40048	20810	72518	Who is the richest Big Bang theory star?	Do physicists like the show The Big Bang Theory?	0	1
904	40067	40067	72548	72549	Where can I get different types of moving services in Central Coast?	Where can I get full range of removal services in Central Coast?	1	2
911	40199	40199	72754	72755	Does mercury metal contain positive or negative ions?	What properties of mercury make it a metal? Can mercury be found in a gas state?	0	3
917	40564	40564	73369	73370	What was the first push of the development of the Victoria era?	What was the first push of Victoria era?	0	3
925	40769	40769	73717	73718	How can you determine the chemical equation for respiration?	How can you determine the chemical equation of digestion?	0	3
933	41248	41248	74501	74502	Can I use apple cider vinegar as a toner and then patanjali aloe vera gel overnight?	Can I use apple cider vinegar as a toner?	1	3
937	41342	41342	74657	11328	What is a good inpatient drug and alcohol rehab center near Newton County GA?	Which is a good inpatient drug and alcohol rehab center near Wheeler County GA?	0	2
951	41760	41760	75349	75350	Who is the best friend of India?	Who is the best friend of India? And why?	1	1
953	41926	41926	75627	75628	Do Adderall pills expire?	Can you take expired Xanax pills?	0	1
960	42336	42336	19025	76308	Which is a suitable inpatient drug and alcohol rehab center near Marshall County IN?	Which is a suitable inpatient drug and alcohol rehab center near Marshall County IA?	0	2
962	42371	42371	29374	6772	What is the proper diet to gain weight?	Which is the best food to gain weight?	1	3
963	42467	42467	76519	76520	What accessories make Indian men sexy?	Indian Men: What scares Indian men?	0	3
967	42703	42703	76913	76914	Which is a suitable inpatient drug and alcohol rehab center in Montgomery County IA?	Which is a suitable inpatient drug and alcohol rehab center in Montgomery County AR?	0	2
969	42821	42821	77110	77111	Does masturbation really reduce the sperm count?	Can regular masturbation cause lack of sperm with age?	1	3
977	43167	43167	1062	41576	How imminent is world war III?	Is a third World War imminent?	1	1
978	43184	43184	77711	77712	How can you determine the chemical equation for decomposition?	How is the chemical equation for chemosynthesis determined?	0	3
981	43267	43267	77849	77850	How do dermatologist remove skin tags?	Can a wart remover remove skin tags?	0	3
984	43482	43482	78205	78206	Can I connect TATA Sky with my LED monitor via HDMI port?	Can I connect TATA Sky with LED monitor via HDMI port?	1	3
1019	45074	45074	80817	80818	Does masturbating have negative health effects?	Does masturbating cause calcium deficiency?	0	1
1033	45799	45799	82016	82017	Can Hepatitis A survive in salt water?	Can Hepatitis C survive/spread in salt water?	0	2
1035	45831	45831	82065	82066	Can green tea be drunk in morning and evening?	Can I have green tea in morning?	0	2
1038	45965	45965	65964	31073	Can you get pregnant a couple days before your period?	Can a woman get pregnant three days into her cycle?	1	3
1040	46064	46064	82439	82440	What is a normal heart rate under a stress test for adults?	What is normal heart rate under stress test for adults?	1	3
1042	46216	46216	82696	82697	Which is a suitable inpatient drug and alcohol rehab center near Canyon County ID?	Which is a suitable inpatient drug and alcohol rehab center near Valley County ID?	0	2
1047	46347	46347	82924	82925	Does having bad teeth ruin your liver and kidneys?	Are there any exercise for stretching short upper lips?	0	3
1049	46485	46485	83147	83148	Is mood swing a disease?	Can prediabetes cause mood swings?	0	3
1074	47519	47519	84832	84833	Why is a human eating their own placenta legally NOT cannibalism?	Isn't eating a placenta after birth basically cannibalism?	1	3
1080	47841	47841	85377	85378	What is web application development?	What is web and web application?	0	3
1112	49294	49294	87748	87749	Where can I get highly cost effective asbestos removal service in Sydney?	Where can I get highly skilled asbestos removal services in Sydney?	1	1
1115	49406	49406	87933	78957	What can be done to reduce thigh and hip fat in men?	How can I reduce thigh fat?	1	3
1129	50161	50161	89160	89161	Can I use the Apple Watch without an iPhone?	Can we use Apple watch without using iPhone?	1	3
1137	50433	50433	89599	24105	Is there an impending cure for Male Pattern Baldness?	How close are we to curing male pattern baldness?	1	3
1153	51271	51271	19559	90968	Can you get adderal without a prescription in India?	Can you get Adderall without a prescription in India?	1	1
1167	51973	51973	92104	76913	Which is a suitable inpatient drug and alcohol rehab center in Montgomery County IL?	Which is a suitable inpatient drug and alcohol rehab center in Montgomery County IA?	0	2
1174	52165	52165	92410	92411	Do micro organisms live in two dimensional world?	Do micro organisms live in single dimensional world?	0	2
1198	53234	53234	94132	94133	Can solitary confinement cause people to go mad/insane?	Will self driving cars lead to a ban on regular driving?	0	3
1199	53346	53346	94319	94320	Can a man live without sex?	Can a man live without having sex?	1	1
1205	53526	53526	5894	65964	Can you get pregnant one day before ovulation?	Can you get pregnant a couple days before your period?	1	3
1224	54481	54481	2193	96174	How do micro ATMs work? Which bank introduced them in India?	How much does a bank spend to operate an ATM in India?	0	1
1227	54529	54529	96252	96253	Can I drink water after workout?	Is it healthier to drink water after a meal or not to drink water after a meal?	0	3
1229	54576	54576	96328	96329	What is the significance of gain and phase margin?	What is physical significance of phase margin?	1	3
1254	55579	55579	97971	97972	What is the best Preschool curriculum in the world?	What is the best preschool curriculum?	1	1
1266	55843	55843	98397	98398	When did a half truth become a whole lie?	Is a half truth a whole lie?	0	1
1277	56205	56205	98963	98964	How do I gain weight to build muscle?	How can I gain weight and build muscles?	1	3
1285	56603	56603	99604	99605	Who is Peter Best?	Who is Pete Best?	1	1
1289	56840	56840	99990	99991	Which is a suitable inpatient drug and alcohol rehab center near Jackson County CO?	Which is a suitable inpatient drug and alcohol rehab center near Mineral County CO?	0	2
1293	56956	56956	100174	100175	What is laughing gas?	What is laughing gas like?	0	3
1298	57347	57347	100784	100785	What role does oxygen play in aerobic resperation?	What role does oxygen play in respiration?	1	2
1300	57528	57528	101075	101076	What is a good inpatient drug and alcohol rehab center near Greenlee County Arizona?	What is a good inpatient drug and alcohol rehab center near Graham County Arizona?	0	2
1318	58469	58469	102564	102565	What is frozen shoulder? How one can cure frozen shoulder naturally?	What is frozen shoulder?	1	3
1326	58657	58657	102872	102873	Is India a third world country?	Who first decided that India was a third world country?	0	1
1336	58923	58923	103296	38247	Who calculated the mass of earth?	Who measured the mass of earth?	1	1
1342	59312	59312	103902	103903	Can you use evaporated milk instead of regular milk in recipe?	Can I substitute evaporated milk for regular milk? If so, how?	1	3
1343	59313	59313	72594	103904	Can we use very high frequency gamma rays or cosmic rays to image planets surfaces and subsurfaces from ground based telescopes?	Do we use high energetic rays (e.g. gamma rays) to image planets?	1	2
1344	59315	59315	103907	60898	Why is schizoid a personality disorder?	What's it like having schizoid personality disorder?	0	3
1346	59377	59377	103996	103997	Can someone read my palm and make correct predictions?	Can anyone read my palm and make correct predictions?	0	3
1349	59444	59444	104108	104109	What role does music play in your life?	What role does music play in our life?	1	2
1354	59531	59531	30859	5895	Can i get pregnant the day after my period ends?	Can u get pregnant the day after your period ends?	1	3
1355	59584	59584	104331	104332	Is a data visualization itself data?	Is a photo a data visualization?	0	1
1371	60375	60375	105590	105591	Which musical instrument can I learn to play in one month?	Which musical instrument can I learn to play within one month?	0	2
1373	60384	60384	48709	105606	What is the difference between distilled water and purified water?	Is distilled water the same as purified water?	1	3
1377	60625	60625	105995	105996	How can the boiling point of carboxylic acid be determined?	How is the boiling point for carboxylic acid determined?	1	1
1379	60735	60735	106169	106170	Can man live forever?	Can people live forever?	1	3
1383	61115	61115	106762	106763	What color shirt and tie can I pair with a charcoal brown suit?	What color tie should I wear with a charcoal suit?	0	3
1394	61487	61487	26881	7252	Can you get pregnant 16 days after your period?	Can you get pregnant 8 days before your period?	1	3
1396	61525	61525	31022	107392	Can methylphenidate cause a urine test to show positive for amphetamine?	Can Adderall cause a Urine Test to show positive for methamphetamine?	0	3
1398	61527	61527	107395	107396	How can the first ionization energy of hydrogen be determined?	How can the ionization energy of hydrogen be determined?	0	3
1410	62242	62242	108520	108521	What does a typical day look like in a 30-day inpatient drug rehab?	Drug Rehabilitation: What is it like to attend rehab?	0	1
1412	62279	62279	108576	108577	Is using natural soap bad for your scalp? Can it cause hair loss indirectly or directly?	Can washing the hair with soap cause hair loss?	0	3
1413	62365	62365	108711	108712	Can I male human get a dog pregnant?	Can a human get a dog pregnant?	1	3
1418	62542	62542	108988	108989	How can the chemical equation for protein be determined?	How is the chemical equation for starch determined?	0	3
1419	62614	62614	109097	109098	Where can I get best corporate horse riding programs in Melbourne?	Where can I get best horse riding deals in Melbourne?	0	2
1423	62932	62932	109594	109595	What's the best method to lucid dreaming?	What is the best lucid dream technique?	1	1
1433	63606	63606	110661	110662	Can Cayenne pepper prevent a heart attack or stroke as claimed?	Can Cayenne pepper prevent a heart attack or stroke as claimed by people?	1	3
1436	63735	63735	110856	110857	Do men like giving oral sex to women?	Do men like to give women oral sex?	1	1
1447	64209	64209	111615	67690	Can I get my adderral filled early?	Can I glue a tooth filling back into my mouth?	0	3
1448	64277	64277	111712	111713	Can mental illness cause physical illness?	Can mental illness lead to physical illness?	1	3
1453	64426	64426	111959	111960	Where can you find bird control service in Sydney?	Where can I find best rat control service in Sydney?	0	2
1456	64545	64545	112150	23574	How can someone make suicide look like an accident?	How do I make suicide look like an accident?	1	1
1462	64789	64789	112535	112536	Can I watch Star Plus online free on YouTube?	Can I watch Star Plus online for free?	0	3
1464	64875	64875	101683	112665	Where can I get best furniture removal or storage services in Central Coast?	Where can I get most reliable moving services in Central Coast?	1	2
1490	66252	66252	28348	114859	What is the difference between synchronous and asynchronous data transfer?	What is the difference between an induction motor and a synchronous motor?	0	1
1493	66329	66329	114982	114983	Can a CO2 tank be filled with compressed air? If so, how?	Can a CO2 tank be filled with compressed air?	1	3
1497	66475	66475	115212	115213	What is a suitable inpatient drug and alcohol rehab center near Dallas County IA?	What is a suitable inpatient drug and alcohol rehab center near Lyon County IA?	0	2
1519	67808	67808	108988	117291	How can the chemical equation for protein be determined?	How do you determine the chemical equation for the fermentation of glucose?	0	3
1559	69980	69980	120692	120693	What is the full name of the reagent named DEAD in organic chemistry?	What is the dead reagent in organic chemistry?	1	2
1573	70598	70598	121628	121629	Can we get a second hand car in EMI?	How can I get a second hand car in EMI?	1	2
1587	71343	71343	5778	122780	Which is a good inpatient drug and alcohol rehab center in Douglas County IL?	Which is a good inpatient drug and alcohol rehab center in Douglas County CO?	0	2
1592	71480	71480	570	122997	Where can I buy best quality customized cupcakes in Gold Coast?	Where can I get great range of flavours for cupcakes at Gold Coast?	1	2
1605	71944	71944	123716	123717	Where is the best Godrej Washing Machine Repair Center in Hyderabad?	Where can we find the best Godrej Washing Machine Repair Center in Hyderabad?	1	2
1607	72000	72000	123804	123805	Can white hairs turn into black?	Can white hair turn into black?	1	2
1609	72061	72061	1214	88874	Can World War 3 ever take place?	Is World War III on its way right now?	1	3
1610	72094	72094	57107	18858	Which food is the best to gain weight?	What is the best diet to gain weight?	1	3
1613	72322	72322	34436	124288	Does juice make you gain weight?	Does vodka make you gain weight?	0	3
1623	72947	72947	125247	125248	How many FPS can the eye see?	What is the real limit of FPS that an eye can see?	1	3
1628	73087	73087	61328	125461	How can you determine the chemical formula for calcium acetate?	How can you determine the chemical formula for calcium nitride?	0	3
1637	73314	73314	13953	111723	Can India host the Summer Olympics?	Can India ever host the Olympics?	1	3
1638	73337	73337	125850	125851	Can adults drink human breast milk?	Can an adult male drink breast milk?	0	3
1643	73509	73509	126139	126140	Is time the fourth dimension?	How is time a fourth dimension?	1	3
1644	73522	73522	126161	126162	Can we see stars in space with the human eye?	Can you see stars when in outer space?	1	3
1650	73906	73906	126761	126762	What is the best online pharmacy without prescription?	What is the best online pharmacy for buying hydrocodone without a prescription?	0	1
1656	74078	74078	16302	127017	Dark Web: How can you access the deep web on a mobile phone?	How deep is dark web?	0	3
