	id	qid1	qid2	question1	question2	is_duplicate
1262	1262	2516	2517	Can you buy an Apple Watch without a watch band?	Will existing Apple Watch bands work with Apple Watch 3 (2017), since I have expensive Apple Watch Bands including Link Bracelet and Classic Buckle?	0
1303	1303	2598	2599	Which book to use for preparing chemistry for neet?	Which chemistry objective book is good for NEET 2017?	1
1457	1457	2902	2903	Can you still learn new languages after childhood?	Are new languages still being created?	0
1504	1504	2995	2996	Where can I get best assistance in Sydney for any property purchasing?	Where can I get knowledgeable assistance for transfer of property in Sydney?	1
1513	1513	3013	3014	How do lymph nodes form?	What are lymph nodes?	0
1538	1538	3063	3064	Will TCS terminate in training period?	How is TCS training period?	0
1572	1572	3130	3131	How much excercise to lower blood pressure?	What are fast ways to lower blood pressure?	0
1605	1605	3196	3197	How much do dental implants cost in India?	What is the price for dental implants in Delhi, India?	1
1607	1607	3200	3201	Which wood glue would be best for repairing a cricket bat?	Which glue is best for repairing a cricket bat?	1
1630	1630	3246	3247	How much does it cost to develop an Android app in India?	How much will it cost to build an Android app in India?	1
1636	1636	3258	3259	Are egg eaters vegetarians?	Are eggs and milk considered vegetarian or non-vegetarian food?	0
1655	1655	3295	3296	Does critical thinking help to burn calories?	Does thinking burns calories?	1
1781	1781	3545	3546	Which is a good inpatient drug and alcohol rehab center near Lawrence County AL?	What is a good inpatient drug and alcohol rehab center near Geneva County AL?	0
1819	1819	3621	3622	What is a good inpatient drug and alcohol rehab center near Monroe County MI?	What is a good inpatient drug and alcohol rehab center near Barry County MI?	0
1832	1832	3647	3648	What's the difference between a floor area and a lot area?	What is minimum floor area? Why is minimum floor area a statutory requirement?	0
1876	1876	3735	3736	Does masturbation cause loss of zinc leading to loss of appetite?	Does masturbation cause loss of protein?	0
1883	1883	3749	3750	Why World War III are inevitable?	Is World War III coming?	1
2021	2021	4021	4022	What are long term effects of hepatitis A?	What are the long term effects of hepatitis B?	0
2040	2040	4059	4060	Where you can find Pest control service in Sydney?	Where can I get environment friendly pest control service in Sydney?	0
2106	2106	4191	4192	Are near death experiences real?	Are Near Death Experiences Proved?	1
2190	2190	4357	4358	Who's your favourite character in the Walking Dead?	Who is your favourite character in the TV series The Walking Dead? Why?	1
2206	2206	4389	4390	How do I practice semen retention?	What is semen retention?	0
2227	2227	4431	4432	Can we kill a black hole?	Can a black hole be destroyed?	0
2304	2304	4581	4582	What might cause a brown discharge during the menstrual cycle (before/during/after menstruation)?	Why do I get a brown discharge before my menstrual cycle?	1
2325	2325	4623	4624	Are men the root of all evil?	Is masculine behavior the root of all evil?	0
2369	2369	4710	4711	How Bruce Lee died?	Who killed Bruce Lee?	0
2453	2453	4875	4876	How does one ejaculate without achieving orgasm?	Can one ejaculate without orgasm?	1
2503	2503	4973	4974	Is the lowest sum rule still used in naming of organic compounds?	Is the lowest sum rule still used in naming organic compounds?	1
2526	2526	5019	5020	Can I paint glass with acrylic paint? Why or why not?	How do you use acrylic paint on glass?	0
2544	2544	5055	5056	What is the difference between plant cell vacuoles and animal cell vacuoles?	Why do plant cells have large vacuoles?	0
2550	2550	5067	3259	Is milk vegetarian or non vegetarian?	Are eggs and milk considered vegetarian or non-vegetarian food?	0
2575	2575	5116	5117	Who invented thermometer?	Who invented mercury in a thermometer?	0
2672	2672	5307	5308	Does Lipton green tea Assist in weight loss?	How Green tea is useful for reducing fat?	1
2761	2761	5479	5480	What are the daily life examples of shear stress?	What is shear stress? Also give any real life example of it	1
2773	2773	5503	5504	How does addiction work?	How well do EEG tests work with meth addicts?	0
2789	2789	5533	5534	I do masturbation twice in a day. Does masturbation affects men's sperm count or does it cause infertility?	Does masturbation cause infertility?	1
2893	2893	5737	5738	How do I extend Google Drive storage capacity for free of cost above the first free 15 GB?	How can I get free Google Drive storage above the first free 15 GB?	1
2913	2913	5777	5778	Which is a suitable inpatient drug and alcohol rehab center in Henderson County IL?	Which is a good inpatient drug and alcohol rehab center in Douglas County IL?	0
2925	2925	5801	5802	Can I drink green tea before sleeping?	Can I drink green tea after a workout?	0
2972	2972	5894	5895	Can you get pregnant one day before ovulation?	Can u get pregnant the day after your period ends?	1
2987	2987	5923	5924	Why do we use high voltage to transmit electrical power?	Why does LVDT use high voltage?	0
3007	3007	5963	5964	How much water should a normal, healthy adult drink on a daily basis to avoid dehydration?	How much water should one drink in one day?	1
3049	3049	6045	6046	What is first night?	What is the first night effect?	0
3100	3100	6147	6148	Which book should i use for JEE  organic chemistry?	Which book should I use for JEE organic chemistry?	1
3119	3119	6184	6185	What is the difference between angle of incidence and angle of reflection?	What is the difference between angle of incidence and critical angle?	0
3129	3129	6203	6204	Does DNA change during the life?	Does DNA change when growing up from baby to adult?	1
3141	3141	6227	6228	What is the difference between analytical analysis and simulation?	What is the difference between global maximum and minimum temperature for simulation and analysis purpose in ANSYS?	0
3241	3241	6425	6426	Who named earth?	Who in the Earth named Earth?	1
3242	3242	6427	6428	What is the Bohr Rutherford diagram for calcium?	What is the Bohr Rutherford diagram for sodium?	0
3287	3287	6516	6517	Can I change my eye colour using hypnosis?	Can people really change their eye colors by hypnosis?	1
3304	3304	6549	6550	Is there any relation between the ventricular systolic period and heart rate?	What is the difference between resting heart rate and normal heart rate?	0
3309	3309	6559	6560	Can I deposit Rs. 50000 without a PAN card?	Can I deposit rs. 240000 without pan card?	0
3343	3343	6627	6628	Should a machine learning beginner go straight for deep learning?	Why is deep learning so important in machine learning?	0
3364	3364	6669	6670	What's the best reverse osmosis system?	What is the best reverse osmosis system?	1
3391	3391	6722	6723	What are the products formed when acetone reacts with concentrated nitric acid?	What products are formed when an acid and a base react?	0
3416	3416	6771	6772	Can any one suggest the best foods for gaining weight?	Which is the best food to gain weight?	1
3437	3437	6813	6814	What devices operate at radio frequency spectrum?	Where would you get a radio frequency microchip tracking device?	0
3449	3449	6836	6837	What makes banana bread so moist?	What is the best way to make moist bread?	0
3450	3450	6838	6839	Where can I get professional painting experience in North Sydney?	Where can I get very professional painting service in North Sydney?	1
3564	3564	7061	7062	What is cognitive behavior therapy training?	What is cognitive behavior therapy?	0
3609	3609	7151	7152	Does coffee stop or interfere with sleeping?	Coffee can interfere with sleep at night?	1
3634	3634	7199	7200	When did social media for health care start and what was the first site?	Can Pharma Develop Mobile Apps Likely to be useful in Engaging Doctors?	0
3677	3677	7283	7284	What is the best natural remedy for cough and cold?	What are the best natural remedies for cold symptoms?	0
3718	3718	7364	7365	Does green tea really reduces weight?	What are the ways to drink green tea for weight loss?	1
3725	3725	7378	593	What are some symptoms of eccentric and concentric contractions?	How do concentric and eccentric contraction compare and contrast?	1
3731	3731	7389	7390	What is nuclear fission and nuclear fusion?	What is the difference between nuclear fusion and nuclear fission?	0
3737	3737	7401	7402	Why do people drive slow in the fast lane?	Why do people on Bay Area highways drive so slowly in the left lane?	1
3834	3834	7594	7595	How can I relieve the symptoms of a sucking chest wound?	What are the symptoms of a sucking chest wound?	0
3854	3854	7633	7634	What is the potassium ion concentration theory for stomata?	Is potassium chloride ionic or covalent?	0
3870	3870	7665	7666	How did microworkers.com get initial traction?	How did Trippy.com get initial traction?	0
3934	3934	7792	7793	Are there any supplements out there that actually burn belly fat and lower body fat?	What can burn body fat? Are natural supplements helpful for losing weight?	1
4009	4009	7938	7939	Is water actually blue?	Why is water blue?	0
4016	4016	7952	7953	How is pressure an intensive property?	Why is pressure an intensive property?	1
4041	4041	8000	8001	Can water dissolve in fat?	How do I dissolve sugar in cold water?	0
4056	4056	8029	8030	How do I get rid of keratosis pilaris on my tricep areas?	How do I get rid of keratosis pilaris?	1
4079	4079	8074	8075	Relation between phase & line voltage?	What is the relation between phase and line voltage?	1
4086	4086	8088	8089	Who is the best doctor for hair loss treatment in Chennai?	Who is the best doctor for hair loss treatment in bangalore?	0
4137	4137	8185	8186	Is activation energy negative?	Why is activation energy negative?	0
4183	4183	8273	8274	What would World War III look like?	Can a normal person start World War III?	0
4237	4237	8378	8379	Can we harness electrical power from the lightning?	Will we be able to gain energy from lightning?	1
4362	4362	8622	8623	What are the best  study methods in medical school?	Medical School: As a doctor or premed student, what was/is your best study habit?	1
4400	4400	8696	8697	What is the best treatment to reduce puffy eyes?	How do you cure puffy eyes?	1
4450	4450	8794	8795	What is a suitable inpatient drug and alcohol rehab center near Bond County IL?	What is a suitable inpatient drug and alcohol rehab center near Champaign County IL?	0
4462	4462	8818	8819	Does HIV causes AIDS?	How does HIV cause AIDS?	0
4466	4466	8826	8827	Does women like oral pleasure?	Do all women like oral sex?	1
4504	4504	8900	8901	What is the best Deep Learning library that can be used in mobile application development?	Does Quora use Deep Learning?	0
4520	4520	8931	8932	Can I get patent for a simple idea?	Can I patent an app idea?	1
4616	4616	9118	9119	Can we charge laptops via USB with a power bank?	Can I charge my power bank using the mobile charger?	0
4646	4646	9177	9178	Can you get cancer from the smoke produced by smoking marijuana?	Can you get lung cancer from smoking marijuana?	1
4653	4653	9191	9192	Where can I get best fire protection services in Sydney?	Where can I get emergency fire protection service in Sydney?	1
4679	4679	9241	9242	What is the best martial art for self defence?	What is the best martial art for practical use?	1
4713	4713	9308	9309	What is the basic difference between bacterial DNA and human DNA?	How does viral DNA differ from bacterial DNA?	0
4771	4771	9422	9423	What martial arts did Bruce Lee study?	What was it like to study under Bruce Lee?	0
4802	4802	9481	9482	Can the world's oil reserves be depleted?	Can the world's oil reserves ever be depleted?	1
4908	4908	9685	9686	Which is a suitable inpatient drug and alcohol rehab center near Johnson County IN?	Which is a suitable inpatient drug and alcohol rehab center near Johnson County GA?	0
5006	5006	9871	9872	Why do viruses rapidly change their genetic material?	It is essential for microbes to rapidly change their genetic material?	0
5018	5018	9895	9896	Is Ayurveda a science?	Why Ayurveda is deprived of science?	0
5041	5041	9939	9940	Where can I get professional and timely electrical service in Inner West?	Where can I get effective solutions against bed bug removals in Inner West?	0
5131	5131	10111	10112	What is the membranous system involved in intracellular transport?	What is cell membrane transport?	0
5265	5265	10366	10367	How do I get rid of mouth sores naturally?	How do I get rid of sores in mouth?	0
5304	5304	10442	10443	Do women like black men?	Do you like black men?	0
5318	5318	10470	10471	In how many days whey protein show effect?	How much whey protein is it allowed to consume per day?	0
5369	5369	10568	10569	What are the common withdrawal symptoms of marijuana?	What are some of the withdrawal symptoms of stopping heavy marijuana use?	1
5385	5385	10600	10601	How does the tap water distribution and sewage disposal system work in Kolkata?	How does the tap water distribution and sewage disposal system work in Mumbai?	0
5407	5407	10641	10642	Will eating large amounts of yogurt make me sick?	Will eating bad for one day make me fat?	0
5521	5521	10858	1010	How do I pass a drug test with baking soda?	Will baking soda help pass a urine test?	1
5535	5535	10883	10884	Does a ketogenic diet really work?	What is Ketogenic Diet and does Ketogenic Diet really work?	0
5603	5603	11014	11015	Which sex position women like most?	Which sex position do girls like?	1
5606	5606	11020	11021	Is it possible for conduction current to be equal to displacement current?	Is it true that displacement current be equal to conduction current?	0
5701	5701	11206	11207	How can I stop mouth breathing while sleeping at night?	I've got three sleep paralysis last night? How can I stop this?	0
5745	5745	11290	11291	How does a precision rectifier work?	Why we use precision rectifier?	1
5766	5766	11327	11328	Which is a suitable inpatient drug and alcohol rehab center near Clayton County GA?	Which is a good inpatient drug and alcohol rehab center near Wheeler County GA?	0
5787	5787	11367	11368	What are the best street foods in delhi?	What are the best street food places of delhi?	0
5789	5789	11371	11372	How many calories are burn in stair climbing 150 stairs?	How many calories do you burn climbing 125 stairs?	0
5976	5976	11724	11725	What is a good inpatient drug and alcohol rehab center near White County IL?	What is a good inpatient drug and alcohol rehab center near Gallatin County IL?	0
5997	5997	11764	11765	How much data does Skype use per minute?	How much data does a 20 minute Skype call use?	0
6000	6000	5534	11770	Does masturbation cause infertility?	Does masturbation in males lead to sexual infertility?	1
6002	6002	11773	11774	What is Convolutional neural network?	Are convolutional neural networks also deep networks?	0
6090	6090	11942	11943	How far can you drive a car  without a wireless car key?	How can I learn to drive a car without having a car?	0
6109	6109	11979	11980	Solubility of metal nitrate in water?	Is magnesium hydroxide soluble in water?	0
6125	6125	12008	12009	How do I make green tea?	What is the right procedure to make green tea?	1
6241	6241	12235	12236	Where can I access broken web apps in the OWASP Broken Web Applications Project page?	How do I build a Single page web app?	0
6243	6243	12239	12240	What is Carbon dioxide - acid or base?	Why does carbonic acid decompose into water and carbon dioxide?	0
6306	6306	12361	12362	How long does USPS First Class International take to ship packages to Singapore?	How long does USPS First Class International take to ship packages to India?	0
6392	6392	12526	12527	Definition of specific gravity?	What is specific gravity?	1
6420	6420	12579	12580	What is the difference between a artificial neural network and a spiking neural network?	What is the difference between an artificial neural network and a biological neural network?	0
6491	6491	12715	12716	How can I get rid of my foot fetish?	How do I get rid of a feet fetish?	1
6507	6507	12744	12745	What's the best digestive enzymes?	Do digestive enzymes help?	0
6524	6524	12777	12778	Why do subpolar zones have low air pressure?	What causes low air pressure in the Earth's atmosphere?	0
6579	6579	12882	12883	Where can I get very competitive exterior plastering service in Boston?	Where can I get high quality plastering services in Boston at very competitive rates?	0
6601	6601	12924	12925	How do buffalo meat and cow beef differ?	How are buffalo meat and cow beef similar?	0
6672	6672	13062	13063	Which is a good inpatient drug and alcohol rehab center in Logan County IL?	Which is a suitable inpatient drug and alcohol rehab center in Adams County IL?	0
6679	6679	13076	13077	Which colors combine to make brown?	What are complementary colors for brown?	0
6731	6731	13176	13177	Does using camphor mixed coconut oil darkens the skin of face?	What is the name of the blue bottle of light coconut oil for skin?	0
6743	6743	13199	6130	Why is calcium sulphate hemihydrate called plaster of paris?	Why is plaster of Paris called plaster of Paris?	1
6753	6753	13217	13218	Can cannabinoids help gene mutations?	We can use point mutant to produce mutated mouse genes instead wild mouse genes. Why should we do it like that?	0
6796	6796	13300	13301	Does green tea boost your metabolism?	Is green tea a fat burner? Does it help with weight loss? how much should I drink? which time to drink ?	0
6829	6829	13365	13366	Is herbal oil good for hair?	Is neem oil good for hair?	0
6846	6846	13398	13399	Do women like anal sex?	Why do people like anal sex?	0
6917	6917	13538	13539	How far can the human eye see on perfectly flat land?	Can people see atoms with their naked eye?	0
6942	6942	12009	13587	What is the right procedure to make green tea?	How do I make delicious cup of green tea?	1
6990	6990	13678	13679	What are common required and elective courses in nursing?	What are common required and elective courses in medicine?	0
6991	6991	13680	13681	What does semen taste like?	Does semen taste good?	1
7100	7100	13883	13884	Is use of complex numbers in quantum mechanics utilitarian rather than essential?	Would quantum mechanics be possible without complex numbers?	0
7182	7182	14042	14043	How does the activation energy of a reaction affect the overall rate of the chemical reaction?	What is the activation energy for a reverse reaction?	0
7304	7304	14273	14274	Where could I find a SD Memory Card data recovery software free of cost?	Where can I get an SD memory card data recovery software free of cost?	1
7341	7341	14344	14345	Which are the best online courses for Machine learning?	Which are best machine learning courses which gives free certification?	0
7346	7346	14354	14355	How can you determine the Lewis dot structure for sulfur?	How do you determine the Lewis Dot Structure for calcium?	0
7355	7355	14371	14372	Why do children read?	Why don't children like reading?	0
7400	7400	14459	14460	Which is a suitable inpatient drug and alcohol rehab center near Sumter County GA?	Which is a suitable inpatient drug and alcohol rehab center near Early County GA?	0
7441	7441	14537	14538	What is a suitable inpatient drug and alcohol rehab center near Morgan County IL?	What is a suitable inpatient drug and alcohol rehab center near Cook County IL?	0
7467	7467	14587	14588	Is sex addiction a reality?	Is sex addiction a real condition?	1
7522	7522	14693	14694	How force is a vector but energy is a scalar quantity?	Why work is scalar quantity when both displacement and force are vector quantities?	1
7525	7525	14699	14700	Are you fertile before your period?	Can a woman get pregnant just before her period?	0
7647	7647	14932	14933	How do I repair a cracked Apple iPad screen?	Where can I get my Apple iPad screen repaired?	1
7752	7752	15133	15134	Can a female dog get pregnant by two different males?	Should I get my female cat spayed or my male cat neutered?	0
7806	7806	15237	15238	Which oil is best for loosening my penis foreskin?	Are any kinds of oil better for loosening compacted ear wax?	0
7853	7853	15328	15329	Will reading fine print make your eye crossed for while?	How do I make Cross Eye 3D images?	0
7913	7913	15443	15444	Which is a suitable inpatient drug and alcohol rehab center near Carter County KY?	Which is a suitable inpatient drug and alcohol rehab center near Robertson County KY?	0
7962	7962	15539	15540	Which book is best for mechanism?	Which book is the best book for static mechanics?	0
7964	7964	15543	15544	Coal cosmetic Moisturizer?	What is the method of using activated charcoal to pass drug test at any given time?	0
7968	7968	15550	15551	What is the role of the activation function in a neural network?	Can Neural Networks perform well on the task of Function Approximation?	0
7977	7977	15568	15569	What are the laws involved in child birth on an international flight?	Which citizenship will a child get if it gets delivered mid air during an international flight?	1
7979	7979	15572	15573	Where do I get solutions to FIITJEE phase tests?	Are FIITJEE phase tests subjective?	0
7981	7981	15576	15577	Who are the rich?	Who do the rich bank with?	0
8172	8172	15937	15938	How much an average human mind can store information?	How much information can human brain store?	1
8182	8182	15957	15958	Is water really incompressible?	Is water virtually incompressible?	1
8183	8183	15959	15960	How are DNA methylation and histone acetylation related to epigenetics?	What causes DNA methylation and histone acetylation?	0
8339	8339	16261	16262	What are the best rock bands?	What is the best rock band of all time?	1
8405	8405	16387	16388	What's the difference between chocolate agar medium and blood agar medium?	Is eating 1-2 chocolate a day affecting my results a lot?	0
8409	8409	14587	16395	Is sex addiction a reality?	Is sex addiction a real thing?	1
8465	8465	16501	16502	Can you boil water at 0°C?	How many hands need to be holding a cup of 1ml water 0°C at one time in order for it to boil?	0
8498	8498	16563	16564	What is liquid nitrogen?	How do you get liquid nitrogen?	0
8516	8516	16597	16598	Is Asperger's Syndrome Autism?	Are Asperger's syndrome and autism alike?	1
8664	8664	16877	16878	Is sleep paralysis rare?	How common is sleep paralysis?	1
8668	8668	16885	16886	How are whole numbers and natural numbers similar?	What is a whole number and a natural number?	0
8732	8732	17013	17014	What is Newton's First Law in Physics?	What is Newton's third law?	0
8735	8735	17019	17020	What is the reaction between ammonia and sulfuric acid?	What is the reaction between sulfuric acid and aluminum?	0
8742	8742	17032	17033	A point charge Q is located just above the centre of the flat face of a hemisphere of radius R as shown in the adjacent figure. What is the electric flux through curved surface area and through flat surface?	Can an electric charge flow through a flame?	0
8789	8789	17116	17117	Can being bullied or having less sleep cause social anxiety?	What causes social anxiety?	0
8807	8807	17149	129	Where can I find a Canadian family office database?	Where can I find a European family office database?	0
8817	8817	17167	17168	Does pulled out hair grow back?	Will hair grow back on bald spots?	0
8818	8818	17169	17170	How do converting used motor oil to diesel oil?	How do converting waste lubricant oil to diesel fuel?	1
8825	8825	17182	17183	Where can I get best DJs for School Discos in Sydney?	Where can I find best quality DJ for School Discos in Sydney?	1
8894	8894	17314	17315	Where can I find best Doctor in Sydney CBD?	Where can I find best Psychologist in Sydney CBD?	0
8928	8928	17376	17377	How long does allergy season last in North America?	How long does allergy season last in South America?	0
8936	8936	17392	17393	Can you substitue brown sugar with white sugar?	Can I substitute white sugar for brown?	1
9010	9010	17535	17536	How can I get rid of facial hair?	How do I get rid of facial hair?	1
9024	9024	17561	17562	How can a turtle live in a fish tank?	Can you keep a turtle in a fish tank?	0
9036	9036	17585	17586	Is learning Chinese difficult?	Is learning Chinese really difficult?	1
9098	9098	17699	17700	What is constant power type of load?	What is critical load in power system?	0
9116	9116	17732	17733	Can India defeat China in a full-fledged war?	Can India defeat China in war?	1
9117	9117	17734	17735	How do I relieve back pain?	How do I get relief from back pain?	1
9130	9130	17759	17760	How does a homeopathic medicine work?	How does homeopathy work?	0
9149	9149	17792	17793	Which is the Best ethical hacking Course available in India that is appropriate for networking beginners ?	Which undergraduate degree is appropriate for pursuing a course in ethical hacking in India?	0
9169	9169	17828	17829	Can Home Depot copy a car key with a chip if I provide them a blank key with a chip?	What signal does a car key send to lock and open the car?	0
9193	9193	17873	17874	Which is a suitable inpatient drug and alcohol rehab center near Clay County GA?	Which is a suitable inpatient drug and alcohol rehab center near White County GA?	0
9241	9241	17963	17964	What is a good inpatient drug and alcohol rehab center in Franklin County AR?	What is a good inpatient drug and alcohol rehab center in Union County AR?	0
9291	9291	18058	18059	Where can I get scholarship for data science in Asia?	Where can I get scholarship for data science?	0
9322	9322	18117	18118	Algorithm for matrix multiplication?	Bariatric surgery and sex?	0
9329	9329	18131	18132	Can corn oil substitute vegetable oil? Why or why not?	Can you substitute canola oil for vegetable oil?	0
9452	9452	18359	18360	What does a penis taste like?	How can I make my penis taste like coffee?	0
9508	9508	18467	18468	Where can I get all standard electrical services in Sydney?	Where can I get safety electrical services in Sydney?	0
9541	9541	18530	18531	Can we loose belly fat by walking daily?	What are the best ways to reduce and eliminate belly, abdominal, and thigh fat?	0
9684	9684	18806	18807	What is eye power?	What is eye power for ips?	0
9788	9788	19008	19009	What's the basic difference between human intelligence and animal intelligence?	What is the difference between human and animal intelligence?	1
9796	9796	19024	19025	What is a suitable inpatient drug and alcohol rehab center near Marion County IN?	Which is a suitable inpatient drug and alcohol rehab center near Marshall County IN?	0
9805	9805	19041	7865	What does green phone icon on messenger mean?	What does the grey phone icon on messenger mean?	0
9811	9811	19051	19052	What are some anime shows similar to One Piece?	What are some good anime like one Piece?	1
9864	9864	19156	19157	What is the average cost of a liquor license in California?	What is the average price of a liquor license in the state of California?	1
9868	9868	19164	19165	Why is carbon dioxide more in venous blood than arterial blood?	Does high blood sugar levels damage the capillaries more than it damages the arteries and veins?	0
9946	9946	19313	19314	What is the pulse code modulation?	What is pulse code modulation?	1
9960	9960	19339	19340	What is the main function of the rough endoplasmic reticulum?	What are the functions of the rough endoplasmic reticulum in plant cells?	1
9965	9965	19349	19350	Which language should I learn by myself first: Russian or Spanish?	Should I learn Russian or Spanish?	1
10027	10027	19465	19466	How is potassium soluble in water?	Is potassium oxide soluble in water?	0
10078	10078	19558	19559	Where can adderalls be found in India, without prescription and without ADHD?	Can you get adderal without a prescription in India?	1
10095	10095	19588	19589	What is a suitable inpatient drug and alcohol rehab center near Spalding County GA?	Which is a good inpatient drug and alcohol rehab center near Lamar County GA?	0
10104	10104	19606	19607	What causes emotional sensitivity?	What is emotional sensitivity?	0
10112	10112	19622	19623	Can veto power be removed?	What is veto power?	0
10167	10167	19730	19731	What is the best ayurvedic medicine for a cough?	What are best ayurvedic medicines for cough or Pneumonia?	0
10241	10241	19868	19869	Can using birth control cause complications in future pregnancies?	Can birth control cause infertility?	1
10300	10300	19974	19975	What state of matter is ice?	Where is dust among the three states of matter?	0
10380	10380	20115	20116	What is difference between line to line voltage and line to neutral voltage?	Consider a line to line voltage measured from an unbalanced Y connected voltage source. Are there any zero sequence component in line to line voltage?	0
10396	10396	20143	20144	Can eigen values be negative?	Can eigen values b negative?	1
10444	10444	20231	20232	What is a suitable inpatient drug and alcohol rehab center in Johnson County IL?	What is a suitable inpatient drug and alcohol rehab center in Lake County IL?	0
10599	10599	20518	20519	Does drinking pure lemon juice burn fat?	Does drinking lemon juice in the morning on an empty stomach help in reducing belly fat?	0
10653	10653	20616	20617	Anorexia Nervosa: Do anorexics suffer long-term effects in their brain development?	Do antidepressants like Mirtazapine have long-term negative effects on the brain?	0
10661	10661	20631	20632	What is the best high school physics textbook?	What are the best high school physics textbooks?	1
10873	10873	21033	21034	How does recession match with gross domestic product?	How can recession match with the gross domestic product of an economy?	1
10907	10907	21099	21100	What is the difference between white hat and black hat ASO?	What is the difference between white hat ASO and black hat ASO?	1
10934	10934	21151	21152	How many oxygen atoms does one molecule of water have?	What is the mass of one molecule of oxygen in unified mass?	0
11003	11003	21279	21280	What is the QuickBooks technical support phone number in New York?	Which is the best QuickBooks Hosting Support Number in New York?	1
11043	11043	21355	21356	How does sex for the first time feel like?	How is first time sex experience?	1
11057	11057	21279	21380	What is the QuickBooks technical support phone number in New York?	What is the best QuickBooks support number in Arkansas?	1
11101	11101	21463	21464	How can you determine the chemical formula of liquid mercury?	How can you determine the liquid formula for mercury?	0
11112	11112	7364	21483	Does green tea really reduces weight?	Does green chai tea assist with weight loss?	1
11119	11119	21496	21497	Who is your favorite Prison Break character?	Who is the best looking actor in Prison Break?	0
11213	11213	21672	21673	What are some characteristics of involuntary muscle tissue?	How are involuntary muscle tissues structured?	0
11260	11260	21761	21762	What is molar heat capacity? How do you determine its formula?	What is molar heat capacity? How can you determine the capacity for water?	0
11280	11280	21801	21802	What is the steering wheel on a ship called?	Why is my steering wheel light?	0
11369	11369	21958	21959	What's the difference between front end and back end programming?	What is the difference between front end and back end website development?	1
11370	11370	21960	21961	How does one overcome social anxiety without medication or therapy?	Is it possible to cure social anxiety without the use of drugs or therapy?	1
11452	11452	22114	22115	What lasting impact have the British had on Singapore?	What impact did British colonization have on Singapore?	1
11473	11473	5558	22153	Where can I get quality assistance in Sydney for any property transaction?	Where can I get best property transaction support in Sydney?	1
11555	11555	22307	22308	What is the difference between a probability density function and a cumulative distribution function?	What's the difference between survival distribution function and cumulative function? Why do they call it survival?	0
11557	11557	22311	7563	Where can I found best quality fire rated shutters in Sydney?	Where can I found completely fire resistant and intrusion resistant shutters in Sydney?	1
11568	11568	22332	22333	Which is the best book to study TENSOR for general relativity from basic?	Which is the best book for tensor calculus?	1
11695	11695	22573	22574	How is corn meal the same as corn flour?	Is corn flour the same as corn meal?	1
11698	11698	22579	22580	What is the chemical formula for vanadium hydroxide?	What is the chemical formula for sodium sulfide?	0
11844	11844	22857	22858	How is simple harmonic motion linked to circular motion?	What is simple harmonic motion?	0
